A (a),(ā),(eh´-ee)
A (a) (day),(ā) (dā),(eh´-ee) (deh´-ee)
A (a) (car),(ä) (kär),(ah) (kah´-erh)
A (a) (abet),(ә) (ә-bәt´),(uh) (uh-beh´-t)
A (a) (air),(â) (âr) (er),(eh) (eh´-erh)
A (a) (hat) (au) (laugh),(a) (hat) (laf),(åh) (håh´-t) (låh´-f)
A (a) (all) (au) (aught),(ô) (ôl) (ôt),(aw) (aw´-l) (aw´-t)
A’s(a’s),(āz),(eh´-ee-z)
AA (alchoholics anonymous),ā ā,eh´-ee eh´-ee
aah (aahed) (aahs),ä (äd) (ähz),ah (ah´-d) (ah´-z)
aahing,ä´-iŋ,ah´-ih-eeng
aardvark (aardwolf),ärd′-värk´ (ärd´-woolf),ah′-erh-d-vah´-erh-k (ah´-erh-d-wôô-l-f)
Aaron (Aaronic),âr´-ən (âr-on´-ik),eh´-ruh-n (eh-rah´-nih-k)
Aaron's (beard),âr´-ənz ( bêrd ),eh´-ruh-nz ( bih´-erh- d)
/ rod,/ rod´,/ rah´- d
aba (ABA American Bar Association),ə-bä´(ä´-bə),uh-bah´(ah´-buh)
abaca (abaka),ə-bak´-ə,uh-båh´-kuh
aback,ə-bak´,uh-båh´-k
taken /,tāk´-ən /´,teh´- ee- keh- n /´
abaci,ab´-ə-sī (ab´-ə-kī),åh´-buh-sah-ee (åh´-buh-kah-ee)
abacist (abacists),ab´-ə-sist (s),åh´-buh-sih-st (s)
abacterial,ā´-bak-têr′-i-əl,eh´-ee-båh-k-tih′-erh-ee-uh-l
abacus,ə-ba´-kəs (ab´-ə-kəs),uh-båh´-kuh-s (åh´-buh-kuh-s)
abacuses,ə-ba´-kə-sez,uh-båh´-kuh-seh-z
abaft (abaff),ə-baft´ (ə-baf´),uh-båh´-ft (uh-båh´-f)
abalienate,ə-bal′-i-ə-nāt´,uh-båh′-lee-uh-neh´-ee-t
abalienation,ə-bal′-i-ə-nā´-shən,uh-båh′-lee-uh-neh´-ee-shuh-n
abalone (abalones),ab′-ə-lō´-ni (ab´-ə-lō´-nēz),åh′-buh-loh´-oo-nee (z)
abandon (abandons),ə-ban´-dən (z),uh-båh´-n-duh-n (z)
abandonee (abandonees),ə-ban´-dən-ē′ (z),uh-båh´-n-duh-nee′ (z)
abandoned (abandonedly),ə-ban´-dənd (ə-ban´-dənd-li),uh-båh´-n-duh-n-d (uh-båh´-n-duh-n-d-lee)
abandoner (abandoners),ə-ban´-dən-ẽr (z),uh-båh´-n-duh-nerh (z)
abandoning,ə-ban´-dən-iŋ,uh-båh´-n-duh-nih-eeng
abandonment,ə-ban´-dən-mənt,uh-båh´-n-duh-n-meh-n-t
a bas,ä bä´,ah bah´
abase (abases),ə-bās´ (ə-bās´-ez),uh-beh´-ee-s (uh-beh´-ee-seh-z)
abased,ə-bāsd´,uh-beh´-ee-sd
abasement,ə-bās´-mənt,uh-beh´-ee-s-meh-n-t
abasing,ə-bās´-iŋ,uh-beh´-ee-sih-eeng
abash (abashes),ə-bash´ (ə-bash´-ez),uh-båh´-sh (uh-båh´-sheh-z)
abashed,ə-bashd´,uh-båh´-shd
abashing,ə-bash´-iŋ,uh-båh´-shih-eeng
abashment (abashments),ə-bash´-mənt (s),uh-båh´-sh-meh-n-t (s)
abatable,ə-bāt´-ə-b’l,uh-beh´-ee-tuh-bôô-l
abate (abates),ə-bāt´ (s),uh-beh´-ee-t (s)
abated,ə-bāt´-ed,uh-beh´-ee-teh-d
abatement (abatements),ə-bāt´-mənt (s),uh-beh´-ee-t-meh-n-t (s)
abater (abaters),ə-bāt´-ẽr (z),uh-beh´-ee-terh (z)
abating,ə-bāt´-iŋ,uh-beh´-ee-tih-eeng
abatis,ab´-ə-tis (ə-bat´-is),åh´-buh-tih-s (uh-båh´-tih-s)
abatises,ab´-ə-tis-ez (ab´-ə-tis-ēz),åh´-buh-tih-seh-z (åh´-buh-tih-see-z)
abattoir,ab´-ə-twär′,åh´-bih-twah′-erh
abaxial,ab-ak´-si-əl,åh-b-åh´-k-see-uh-l
abb,ah´-b,åh´-b
abba (abbas),ab´-ə (z),åh´-buh (z)
abbacy,ab´-ə-si,åh´-buh-see
abbasid,ab´-ə-sid,åh´-buh-sih-d
abbatial,ə-bā´-shəl,uh-beh´-ee-shuh-l
abbé,ab-ā´ (ab´-ā) (ab´- ē),åh-beh´-ee (åh´-beh-ee) (åh´-bee)
abbess,ab´-is,åh´-bih-s
